Frase,Keyword
Todo en la vida es locura salvo el placer,"vida, locura, placer, disfrutar, aburrido, aburrida, fiesta"
El gozo del amor es una flor que nace y muere,"amor, flor, nace, muere, tiempo, efímero, terminó, acabamos"
Vivir siempre libre sin la atadura de ser amada amando,"libre, libertad, atadura, amar, sola, solo, independencia, soltería"
Pero ese amor ese amor es la inspiración del universo entero,"amor, inspiración, universo, sentir, amar, todo"
Es cruz y delicia para el corazón,"cruz, delicia, corazón, difícil, sentimiento, duele, amor"
Y por la fuerza del amor sacrificaría mi alma entera mi único preciado bien,"alma, sacrificio, fuerza, bien, todo, entregar, amor"
Diré adiós a los bellos recuerdos del pasado,"adiós, recuerdos, pasado, olvidar, antes, ex, superado"
Y estaré allí entre las flores para siempre,"flores, siempre, allí, paz, lugar, tranquilidad, descanso"
En mí renace un insólito aliento vuelve a vivir mi alma extraviada,"renace, aliento, vivir, alma, extraviada, volver, esperanza, mal, perdida, perdido"
Te voy a contar historia real vente conmigo,"historia, real, contar, vente, ven, escuchar, verdad"
No temas soñar mi amargo final quizás ya lo has oído,"soñar, miedo, final, amargo, oír, destino, terminar"
Lo hice por mí lo que te di,"hice, mí, egoísmo, regalo, dar, propio, decisión"
No sé vivir si no es para amar,"vivir, amar, amor, sentido, vida, querer"
Yo solo sigo este camino me guía a un despertar,"camino, guía, despertar, futuro, seguir, destino"
Si el precio a pagar es mi dolor que muera yo,"precio, pagar, dolor, morir, sacrificio, valer la pena"
Si tan caro va a costar prefiero quererte yo,"caro, costar, prefiero, quererte, amor, valiente"
Vivir por amor no me arrepiento de sentir lo que llevo dentro,"vivir, amor, arrepiento, sentir, dentro, sentimientos"
Ojos cerrados tu luz yo sé que me va a guiar,"ojos, cerrados, luz, guiar, fe, confianza, ciego"
